1	-0.932776445525568,0.04908714832314978,0.014811471503185855,0.017425293698407923,0.04776107016266195,0.024764857259992692,0.024163438714872223,0.004702806091546228,0.07430538127963097,0.07045483719745485,0.049039457075477834,0.04896233533798137,0.04504121508013679,0.07422021225399181,0.0021740316962881286,0.05774527296402856,0.09122990377694667,0.0447440145545582,8.549171555463088E-4,0.0374135552805662,
2	0.0251846091423552,-0.9851137839891745,0.08079814466666946,0.06494087527489094,0.06146742127778438,0.08076467206367192,0.05481881462061295,0.059519572968144245,0.017550945740789085,0.029830858646754086,0.06513469676777202,0.055786333642170005,0.03958135326717442,0.08409524754696582,0.019611882961626557,0.004500473649892387,0.08061227828339185,0.08502774769269891,0.06805170158684097,0.024399676563562518,
3	0.07131051594146681,0.061422744447284336,-0.9502911708704143,0.012070646560935407,0.030911492454140446,0.026256851112416563,0.0690426588326685,0.09062103391552329,0.08604871782654484,0.08846219434766024,0.02200756615571159,0.003157827979702167,0.05928446555186844,0.04254739811200905,0.011212657002145516,0.008964410004894898,0.008656010650749614,0.03571353669957503,0.06832146615993608,0.09061787682286696,
4	0.002849846276251053,0.07651392510216347,0.03661004038063669,-0.9446006375250153,0.043292016058538295,0.0014980403162644334,0.07268643290742713,0.07470862078845389,0.05680967143607994,0.020881424049201385,0.020970930909890623,0.07527123835125361,0.0880990886028069,0.02106878939782131,0.03345058221172479,0.04174514934025238,0.0011722731722552866,0.06739545628896651,0.0882700587778359,0.0628977481019858,
5	0.036246302597803474,0.04746354628064069,0.0698478853418239,0.03956907321819364,-0.9499761683368333,0.04271217608253067,0.01803859861829999,0.026900151123781166,0.060840560004006096,0.021001035685980537,0.07775064212809019,0.06240921110343284,0.07487685259353005,0.009712810134710943,0.011687368440580213,0.06181983111684341,0.004324173826812255,0.05233944523668962,0.07938438527916614,0.029134525057971945,
6	0.07859111153901138,0.09054031254454578,0.03740353400852201,0.09044678572214564,0.06701852012764596,-0.9724897047759395,0.023593571617910685,0.01672717630642035,0.011954190855275212,0.07943447804765977,0.0811806776297116,0.05873231899200473,0.020160213567995553,4.0542615790829106E-4,0.035215453447574076,0.016941017480584172,0.006596611780828069,0.08372124780599796,0.04901395852816875,0.001486280318137601,
7	0.016386596841875992,0.08019001205888139,0.008829000447340645,0.07891359383272466,0.08707821027637626,0.033688516673466624,-0.9700957070344861,0.06733862968270522,0.08433848147084594,0.023465131030567757,0.05392413505890093,0.0594707901678131,0.019785226257982246,0.08554902848559387,0.08073881020314157,0.059844135196913124,0.03977805921185543,0.05844913236487705,0.08581794806964788,0.07502305841126077,
8	0.07184304703839231,0.08180588945311235,0.011560667969149402,0.016221247079798953,0.0894955555553055,0.05384799032867438,0.02313699589320868,-0.9090525269266554,0.0556260378051319,0.046995083417211585,0.04266373035185279,0.040045073293027596,0.023630524741148767,0.08514746833887418,0.041846535695497546,0.06593772108287337,0.06696105095923378,0.02179903373745082,0.08468123162871306,0.031088245866254596,
9	2.5339967688198614E-5,0.019485125871487922,0.081563590708653,0.05796586093481596,0.061475205397265274,0.05785140612748899,0.038567512028592744,0.07106893121647077,-0.9696081250446755,0.016180807879831914,0.04185988854545177,0.09142202131821381,0.05926859125429777,0.016786015964247534,0.02229612873522635,0.02832215232015914,0.016254752118496252,0.07257144993548915,0.002970126387656148,0.07037306453775123,
10	0.017635445857706062,0.04207629917015245,0.008924842795806742,0.01845089534091988,0.0793437549222572,0.003741033866189761,0.013338662214842853,0.045994271177532686,0.006360224259787135,-0.9933407449476259,0.04793303159739765,0.05284232820311146,0.029697779118458844,0.06596909868463434,0.026526620354016085,0.05991319240092456,0.048895280277505435,0.05299687251497083,0.045994171601084155,0.003617724320173045,
11	0.07368759028295051,0.053073633232741876,0.038400438128195116,0.010198198319036627,0.032815741039070936,0.020081138893871402,0.047958097872994536,0.019722025915848453,0.07975614345385462,0.0801727710477409,-0.9636257871286371,0.00983745420149275,0.023607869005626978,0.012714094149919601,0.04043185758423259,0.07273469008717177,0.012571591021611402,0.005743846357690677,0.042757766051547505,0.06652494971937632,
12	0.04462753519311623,0.0462475884457149,0.08005536172659032,0.01521430023075293,0.009045995751095742,0.013111740916240617,0.0026613053487487396,0.06208713590445593,0.0733206733217526,0.05136461126973641,0.09244380999567449,-0.9217348630801644,0.07202321305583004,0.08808995767449637,0.029639390824816966,0.016021057472468233,0.00993485421242762,0.0673598061783521,0.005214629370174381,0.0015325775151220752,
13	0.027718886970459485,0.0356090931264367,0.06613260487891656,0.08601393971965536,0.045230646915527556,0.01322810944962895,0.06955871322818255,0.004373470011400748,0.046299256114056365,0.0371384747170503,0.07282980551098156,0.05878426211793168,-0.9722322711522761,0.020673334071549927,0.04604846526958989,0.08104010219602545,0.01414706077721867,0.01722527953198983,0.03514020708801893,0.049196584789175754,
14	0.06009494259928962,0.024953124519587592,0.021391082413603844,0.04277907586041631,0.04492650021700196,0.08603916767744234,0.022600959857602677,0.08081254982947034,0.046122090605912665,0.013707609245384174,0.006355978577266865,0.07174167233166623,0.0019600533464494124,-0.9973364056999925,0.005444998567266079,0.034699441966087215,0.00296715709312058,0.04572370938357579,0.01838292524921665,0.0030256359177204474,
